sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Citrus sp.		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Diospyros kaki		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Eriobotrya japonica		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Ficus carica		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Ficus elastica		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Malus sp.		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Melia azadirachta		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Morus sp.		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Phoenix dactylifera		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
		Rousettus aegyptiacus					http://purl.obolibrary.org/obo/RO_0002470	eats			Prunus persica		fruit				"Hatay, Adana, Mersin, and Antalya, Turkey"			2009-09/2003-09			"Albayrak, I., A?an, N., & Yorulmaz, T. (2008). The natural history of the Egyptian fruit bat, Rousettus aegyptiacus, in Turkey (Mammalia: Chiroptera). Turkish Journal of Zoology, 32(1), 11-18."
